material   : carbon-chain
h5path     : /scratch/yimili/matrices/hdf5/carbon-chain.h5
block size : 104
requested  : idx 0..401 (402 indices)
completed  : 402
failed     : 0

idx  relres_fp16   fwd_err_fp16   fwd_err_c64   cond_full_svd
 219  1.882886e-02  1.741760e-02  2.299154e-06  1.708391e+03
 220  1.856954e-02  1.443905e-02  1.560310e-06  1.710307e+03
 221  1.857411e-02  1.643133e-02  2.810485e-06  1.712217e+03
 222  1.833168e-02  1.979551e-02  1.942837e-06  1.714122e+03
 223  1.792600e-02  1.141787e-02  2.062258e-06  1.716022e+03
 224  1.776829e-02  1.411249e-02  1.757798e-06  1.717919e+03
 225  1.832964e-02  1.524261e-02  1.951498e-06  1.719813e+03
 226  1.911595e-02  1.512850e-02  1.768549e-06  1.721707e+03
 227  1.779857e-02  1.747368e-02  2.831321e-06  1.723600e+03
 228  1.843999e-02  2.162530e-02  1.832382e-06  1.725497e+03
 229  1.855460e-02  1.902680e-02  1.716905e-06  1.727400e+03
 230  1.788111e-02  1.668628e-02  2.315357e-06  1.729317e+03
 231  1.872203e-02  1.654627e-02  2.402736e-06  1.731279e+03
 232  1.819977e-02  1.968312e-02  1.836697e-06  1.733337e+03
 233  1.822924e-02  2.090562e-02  2.664047e-06  1.735453e+03
 234  1.729627e-02  1.397528e-02  2.117517e-06  1.737587e+03
 235  1.785897e-02  1.938317e-02  1.894129e-06  1.739725e+03
 236  1.839957e-02  1.535878e-02  1.804567e-06  1.741866e+03
 237  1.822279e-02  1.919188e-02  1.827094e-06  1.744005e+03
 238  1.799796e-02  1.900238e-02  1.851515e-06  1.746142e+03
 239  1.887957e-02  2.467907e-02  2.211494e-06  1.748277e+03
 240  1.793919e-02  1.758260e-02  2.181183e-06  1.750407e+03
 241  1.788393e-02  2.472559e-02  2.705494e-06  1.752533e+03
 242  1.869775e-02  1.824165e-02  2.522243e-06  1.754654e+03
 243  1.816801e-02  1.801157e-02  1.634125e-06  1.756770e+03
 244  1.803102e-02  1.717654e-02  1.966148e-06  1.758880e+03
 245  1.862468e-02  1.460245e-02  1.823176e-06  1.760986e+03
 246  1.813624e-02  2.543053e-02  1.671134e-06  1.763086e+03
 247  1.722297e-02  1.786017e-02  2.308484e-06  1.765182e+03
 248  1.819445e-02  1.930527e-02  2.532739e-06  1.767274e+03
 249  1.863934e-02  1.383406e-02  2.169971e-06  1.769363e+03
 250  1.822263e-02  2.010458e-02  2.437347e-06  1.771449e+03
 251  1.679765e-02  1.853337e-02  2.489673e-06  1.773534e+03
 252  1.856488e-02  1.972930e-02  2.571842e-06  1.775619e+03
 253  1.822646e-02  1.586216e-02  2.179531e-06  1.777704e+03
 254  1.850597e-02  1.854678e-02  1.987989e-06  1.779792e+03
 255  1.851145e-02  2.131644e-02  1.974075e-06  1.781884e+03
 256  1.878903e-02  1.882548e-02  1.822662e-06  1.783982e+03
 257  1.887602e-02  2.600077e-02  2.188681e-06  1.786088e+03
 258  1.835360e-02  1.691630e-02  2.302680e-06  1.788202e+03
 259  1.924129e-02  2.318141e-02  2.630291e-06  1.790328e+03
 260  1.836525e-02  1.726408e-02  1.990393e-06  1.792466e+03
 261  1.853281e-02  1.917970e-02  1.971664e-06  1.794617e+03
 262  1.763712e-02  1.775560e-02  1.847292e-06  1.796781e+03
 263  1.847545e-02  1.772044e-02  1.775157e-06  1.798958e+03
 264  1.801177e-02  2.138143e-02  2.014666e-06  1.801147e+03
 265  1.909682e-02  1.463473e-02  2.212012e-06  1.803344e+03
 266  1.851083e-02  2.095581e-02  2.773086e-06  1.805549e+03
 267  1.888324e-02  1.626448e-02  1.633988e-06  1.807760e+03
 268  1.840454e-02  1.896682e-02  1.869136e-06  1.809974e+03
 269  1.882491e-02  1.741934e-02  2.061429e-06  1.812191e+03
 270  1.881555e-02  1.952950e-02  2.263505e-06  1.814410e+03
 271  1.926778e-02  3.021473e-02  1.834620e-06  1.816629e+03
 272  1.850817e-02  2.327038e-02  1.844658e-06  1.818849e+03
 273  1.840427e-02  2.810711e-02  2.394708e-06  1.821069e+03
 274  1.839218e-02  1.758765e-02  2.213600e-06  1.823288e+03
 275  1.880164e-02  2.016103e-02  2.386745e-06  1.825508e+03
 276  1.846659e-02  1.554384e-02  2.528750e-06  1.827729e+03
 277  1.925547e-02  2.186575e-02  2.423819e-06  1.829951e+03
 278  1.930560e-02  1.660730e-02  1.824198e-06  1.832175e+03
 279  1.898304e-02  1.770195e-02  2.163850e-06  1.834403e+03
 280  1.967929e-02  2.385672e-02  1.821226e-06  1.836634e+03
 281  1.940571e-02  2.960198e-02  2.632025e-06  1.838872e+03
 282  1.788659e-02  1.474828e-02  2.553571e-06  1.841120e+03
 283  1.831693e-02  2.085736e-02  2.332680e-06  1.843381e+03
 284  1.862859e-02  1.705779e-02  2.431176e-06  1.845662e+03
 285  1.970646e-02  1.335554e-02  2.632737e-06  1.847967e+03
 286  1.815399e-02  1.826711e-02  1.981506e-06  1.850293e+03
 287  1.836832e-02  1.711790e-02  2.323389e-06  1.852636e+03
 288  1.896793e-02  1.989619e-02  2.084107e-06  1.854989e+03
 289  1.837087e-02  2.180600e-02  2.940648e-06  1.857349e+03
 290  1.869085e-02  2.396341e-02  2.792948e-06  1.859712e+03
 291  1.871844e-02  1.995398e-02  2.479705e-06  1.862078e+03
 292  1.827191e-02  1.560407e-02  1.546360e-06  1.864446e+03
 293  1.850820e-02  1.326417e-02  2.084595e-06  1.866814e+03
 294  1.850403e-02  1.907052e-02  2.254971e-06  1.869183e+03
 295  1.837430e-02  2.059200e-02  2.487929e-06  1.871552e+03
 296  1.862416e-02  2.686405e-02  2.378377e-06  1.873920e+03
 297  1.874543e-02  2.406442e-02  2.046926e-06  1.876289e+03
 298  1.851318e-02  3.068098e-02  2.663749e-06  1.878657e+03
 299  1.810961e-02  1.918981e-02  2.128478e-06  1.881025e+03
 300  1.871156e-02  2.850520e-02  2.567122e-06  1.883395e+03
 301  1.853730e-02  1.386740e-02  1.899928e-06  1.885765e+03
 302  1.843542e-02  1.910415e-02  2.605439e-06  1.888137e+03
 303  1.898187e-02  2.403006e-02  2.610557e-06  1.890512e+03
 304  1.831943e-02  1.574413e-02  2.160594e-06  1.892891e+03
 305  1.869536e-02  2.204945e-02  2.351628e-06  1.895275e+03
 306  1.856242e-02  2.307910e-02  1.958563e-06  1.897668e+03
 307  1.909578e-02  1.834014e-02  2.794341e-06  1.900073e+03
 308  1.883894e-02  2.018231e-02  2.965907e-06  1.902499e+03
 309  1.806901e-02  2.118955e-02  2.248572e-06  1.904950e+03
 310  1.775996e-02  2.193735e-02  2.654792e-06  1.907424e+03
 311  1.837558e-02  2.217473e-02  1.784414e-06  1.909913e+03
 312  1.862694e-02  2.161726e-02  2.401122e-06  1.912411e+03
 313  1.947888e-02  1.643025e-02  1.916600e-06  1.914915e+03
 314  1.865000e-02  2.168752e-02  1.819036e-06  1.917424e+03
 315  1.888951e-02  1.769360e-02  2.340248e-06  1.919936e+03
 316  1.819197e-02  1.744585e-02  2.219585e-06  1.922451e+03
 317  1.955667e-02  1.997720e-02  3.171092e-06  1.924967e+03
 318  1.868065e-02  2.410376e-02  2.439505e-06  1.927485e+03
 319  1.913857e-02  2.732806e-02  2.472812e-06  1.930004e+03
 320  1.884575e-02  1.831433e-02  2.890476e-06  1.932524e+03
 321  1.916484e-02  2.446420e-02  2.436432e-06  1.935044e+03
 322  1.911477e-02  2.094665e-02  2.577878e-06  1.937565e+03
 323  1.934525e-02  2.357415e-02  2.411238e-06  1.940088e+03
